Location	InstanceType	ExistsInLocation
use1-az1	a1.2xlarge	0
use1-az1	a1.4xlarge	0
use1-az1	a1.large	0
use1-az1	a1.medium	0
use1-az1	a1.metal	0
use1-az1	a1.xlarge	0
use1-az1	c1.medium	1
use1-az1	c1.xlarge	1
use1-az1	c3.2xlarge	0
use1-az1	c3.4xlarge	0
use1-az1	c3.8xlarge	0
use1-az1	c3.large	0
use1-az1	c3.xlarge	0
use1-az1	c4.2xlarge	1
use1-az1	c4.4xlarge	1
use1-az1	c4.8xlarge	1
use1-az1	c4.large	1
use1-az1	c4.xlarge	1
use1-az1	c5.12xlarge	1
use1-az1	c5.18xlarge	1
use1-az1	c5.24xlarge	1
use1-az1	c5.2xlarge	1
use1-az1	c5.4xlarge	1
use1-az1	c5.9xlarge	1
use1-az1	c5.large	1
use1-az1	c5.metal	1
use1-az1	c5.xlarge	1
use1-az1	c5a.12xlarge	1
use1-az1	c5a.16xlarge	1
use1-az1	c5a.24xlarge	1
use1-az1	c5a.2xlarge	1
use1-az1	c5a.4xlarge	1
use1-az1	c5a.8xlarge	1
use1-az1	c5a.large	1
use1-az1	c5a.xlarge	1
use1-az1	c5ad.12xlarge	1
use1-az1	c5ad.16xlarge	1
use1-az1	c5ad.24xlarge	1
use1-az1	c5ad.2xlarge	1
use1-az1	c5ad.4xlarge	1
use1-az1	c5ad.8xlarge	1
use1-az1	c5ad.large	1
use1-az1	c5ad.xlarge	1
use1-az1	c5d.12xlarge	0
use1-az1	c5d.18xlarge	1
use1-az1	c5d.24xlarge	0
use1-az1	c5d.2xlarge	1
use1-az1	c5d.4xlarge	1
use1-az1	c5d.9xlarge	1
use1-az1	c5d.large	1
use1-az1	c5d.metal	1
use1-az1	c5d.xlarge	1
use1-az1	c5n.18xlarge	1
use1-az1	c5n.2xlarge	1
use1-az1	c5n.4xlarge	1
use1-az1	c5n.9xlarge	1
use1-az1	c5n.large	1
use1-az1	c5n.metal	1
